hour,n_samples,correlation,load_surprise_std,imbalance_std,load_surprise_mean
0,2944,-0.21194511504206434,67.53200123561967,9.547563486546617,8.630978260869517
1,2920,-0.26211589926987977,62.66172951290925,8.539428221614148,-2.7053424657534717
2,2920,-0.26104759077787365,65.11556245373058,8.316723305570541,2.3906849315068066
3,2920,-0.2850224903412225,63.57904015493296,8.180670437301357,-11.59356164383566
4,2920,-0.2627717043641493,66.41363866180865,8.893176817670394,-18.116986301369906
5,2920,-0.1996196305455407,80.43083315529753,10.812939820028964,-38.72301369863018
6,2920,-0.2360882687924309,84.44514917424657,11.279938517899845,-39.12328767123293
7,2920,-0.29898097987405114,81.57474691406395,9.919333942113463,-27.632602739726075
8,2920,-0.2770344457263479,81.18144325156277,11.709927730267845,-30.997397260274017
9,2916,-0.3859036859812208,93.86049175008895,13.998561792399071,-10.35802469135807
10,2920,-0.38292723869923917,99.00744962116866,14.50522537665204,-25.099863013698677
11,2920,-0.3901124858799209,106.96323379553408,16.36163851071178,-6.365616438356211
12,2920,-0.37627060957928926,109.32311104599438,16.38485162616429,-7.576849315068541
13,2920,-0.373433540403164,108.45268553762885,15.554852429097616,-3.279863013698675
14,2920,-0.3565152982451732,102.87217110341346,14.61400322161201,-7.720000000000045
15,2920,-0.34345051220007206,93.40161117327433,14.315708547747182,-17.348219178082243
16,2920,-0.3260607896034948,92.79439540799277,12.547601255646574,-1.9363013698630598
17,2916,-0.2516632561122739,86.37897400049803,11.156654391647693,-2.9606310013717896
18,2916,-0.2617234185745633,84.52605540043237,10.241257879800953,-0.6903978052126665
19,2915,-0.18805854404317102,80.89848136336019,9.976923301147853,2.933070325900462
20,2916,-0.20135472533833587,90.35401793228944,12.417166112680837,25.930864197530813
21,2920,-0.21520076140744274,87.08156692572595,10.703883519791823,27.28876712328762
22,2920,-0.24085377755211393,78.18084212280132,8.660296498004245,21.686849315068446
23,2912,-0.23669434686546598,72.8688140354394,8.491997106387897,12.798763736263691
