qh,bin,bin_mid,pct_positive,n_samples,mean_imbalance
1,"(-50, 0]",-25.0,0.5820952380952381,2625,2.412830857142857
1,"(50, 100]",75.0,0.405152224824356,1708,-1.8477523419203747
1,"(0, 50]",25.0,0.5031372549019608,2550,0.5738317647058824
1,"(-100, -50]",-75.0,0.6812126779972439,2177,5.291197519522278
1,"(-150, -100]",-125.0,0.7608318890814558,1154,8.372915944540729
1,"(-200, -150]",-175.0,0.7956600361663653,553,10.601571428571429
1,"(100, 150]",125.0,0.35047846889952156,836,-3.7865239234449763
1,"(150, 200]",175.0,0.25203252032520324,369,-7.290455284552845
1,"(250, 300]",275.0,0.18181818181818182,44,-12.96275
1,"(200, 250]",225.0,0.23684210526315788,114,-7.196140350877193
1,"(-300, -250]",-275.0,0.8571428571428571,63,15.055460317460316
1,"(-250, -200]",-225.0,0.8098159509202454,163,12.21008588957055
2,"(-50, 0]",-25.0,0.6118095238095238,2625,2.451923809523809
2,"(50, 100]",75.0,0.4127634660421546,1708,-1.829336651053864
2,"(0, 50]",25.0,0.5243137254901961,2550,0.7608972549019607
2,"(-100, -50]",-75.0,0.7083141938447405,2177,4.918943500229674
2,"(-150, -100]",-125.0,0.779896013864818,1154,7.74373136915078
2,"(-200, -150]",-175.0,0.8191681735985533,553,10.151399638336347
2,"(100, 150]",125.0,0.35047846889952156,836,-3.8985789473684216
2,"(150, 200]",175.0,0.25474254742547425,369,-6.0604959349593495
2,"(250, 300]",275.0,0.13636363636363635,44,-12.961022727272733
2,"(200, 250]",225.0,0.20175438596491227,114,-7.069096491228069
2,"(-300, -250]",-275.0,0.8888888888888888,63,14.062047619047616
2,"(-250, -200]",-225.0,0.8404907975460123,163,11.662214723926379
3,"(-50, 0]",-25.0,0.5485714285714286,2625,1.7478533333333333
3,"(50, 100]",75.0,0.39227166276346603,1708,-2.222940281030445
3,"(0, 50]",25.0,0.46901960784313723,2550,-0.006412156862745098
3,"(-100, -50]",-75.0,0.6306844281120808,2177,3.684410656867249
3,"(-150, -100]",-125.0,0.6949740034662045,1154,6.363753032928943
3,"(-200, -150]",-175.0,0.7179023508137432,553,8.136895117540687
3,"(100, 150]",125.0,0.34330143540669855,836,-3.8951196172248808
3,"(150, 200]",175.0,0.25203252032520324,369,-6.382241192411924
3,"(250, 300]",275.0,0.18181818181818182,44,-9.864977272727273
3,"(200, 250]",225.0,0.19298245614035087,114,-6.562342105263157
3,"(-300, -250]",-275.0,0.8253968253968254,63,13.062507936507936
3,"(-250, -200]",-225.0,0.7300613496932515,163,10.096969325153374
4,"(-50, 0]",-25.0,0.5914634146341463,2624,2.89694931402439
4,"(50, 100]",75.0,0.4672131147540984,1708,-0.8880989461358314
4,"(0, 50]",25.0,0.5419607843137255,2550,1.345316862745098
4,"(-100, -50]",-75.0,0.6412494258153422,2177,4.309523656407901
4,"(-150, -100]",-125.0,0.7027729636048526,1154,7.044321490467937
4,"(-200, -150]",-175.0,0.7323688969258589,553,8.27199095840868
4,"(100, 150]",125.0,0.4485645933014354,836,-2.174478468899522
4,"(150, 200]",175.0,0.33604336043360433,369,-4.639723577235772
4,"(250, 300]",275.0,0.22727272727272727,44,-9.321090909090909
4,"(200, 250]",225.0,0.2543859649122807,114,-5.3271578947368425
4,"(-300, -250]",-275.0,0.7777777777777778,63,13.386031746031746
4,"(-250, -200]",-225.0,0.7116564417177914,163,10.42939263803681
