bin,pct_positive,count,mean_imb,std_imb,pct_negative,confidence,predicted_dir,bin_mid
"(-325, -300]",0.9090909090909091,44,24.231090909090906,17.114645115613815,0.09090909090909094,0.9090909090909091,Positive,-312.5
"(-300, -275]",0.8375,80,16.1580625,19.39238036344691,0.16249999999999998,0.8375,Positive,-287.5
"(-275, -250]",0.8372093023255814,172,12.837302325581396,15.555518114627278,0.16279069767441856,0.8372093023255814,Positive,-262.5
"(-250, -225]",0.8348214285714286,224,13.887410714285716,15.677244944799988,0.1651785714285714,0.8348214285714286,Positive,-237.5
"(-225, -200]",0.7406542056074766,428,9.640658878504674,13.907166223587138,0.25934579439252337,0.7406542056074766,Positive,-212.5
"(-200, -175]",0.7679372197309418,892,8.889326233183857,13.30924435781598,0.23206278026905824,0.7679372197309418,Positive,-187.5
"(-175, -150]",0.7651515151515151,1320,9.561536363636362,13.036740069019675,0.23484848484848486,0.7651515151515151,Positive,-162.5
"(-150, -125]",0.7773833671399595,1972,8.641769269776876,12.74981719040097,0.22261663286004052,0.7773833671399595,Positive,-137.5
"(-125, -100]",0.7027231467473525,2644,6.440983358547655,13.155063044378647,0.2972768532526475,0.7027231467473525,Positive,-112.5
"(-100, -75]",0.6787833827893175,4044,4.94344881305638,12.599371933653432,0.3212166172106825,0.6787833827893175,Positive,-87.5
"(-75, -50]",0.6537307032590052,4664,4.210755789022299,12.334557596996609,0.3462692967409948,0.6537307032590052,Positive,-62.5
"(-50, -25]",0.5993466564181399,5204,2.710732321291314,12.18529519189945,0.4006533435818601,0.5993466564181399,Positive,-37.5
"(-25, 0]",0.5678942398489141,5295,2.0496770538243627,11.742283912929073,0.4321057601510859,0.5678942398489141,Positive,-12.5
"(0, 25]",0.5307721712538226,5232,1.3121785168195719,11.961224952784226,0.4692278287461774,0.5307721712538226,Positive,12.5
"(25, 50]",0.48731884057971014,4968,-0.009571658615136869,12.07843868222629,0.5126811594202898,0.5126811594202898,Negative,37.5
"(50, 75]",0.43979591836734694,3920,-1.2406380102040817,11.678362334958285,0.560204081632653,0.560204081632653,Negative,62.5
"(75, 100]",0.3918269230769231,2912,-2.311408653846154,11.997852488846044,0.6081730769230769,0.6081730769230769,Negative,87.5
"(100, 125]",0.3901209677419355,1984,-3.013438508064516,11.738002419064498,0.6098790322580645,0.6098790322580645,Negative,112.5
"(125, 150]",0.34852941176470587,1360,-4.0590205882352945,12.934456015012186,0.6514705882352941,0.6514705882352941,Negative,137.5
"(150, 175]",0.28604651162790695,860,-5.983781395348837,11.737565364485397,0.713953488372093,0.713953488372093,Negative,162.5
"(175, 200]",0.2564935064935065,616,-6.246029220779221,10.325545913989679,0.7435064935064934,0.7435064935064934,Negative,187.5
"(200, 225]",0.24647887323943662,284,-5.570672535211267,11.197298191050983,0.7535211267605634,0.7535211267605634,Negative,212.5
"(225, 250]",0.18023255813953487,172,-8.137029069767442,12.404211115456347,0.8197674418604651,0.8197674418604651,Negative,237.5
"(250, 275]",0.19696969696969696,132,-10.889810606060605,15.244285128228428,0.803030303030303,0.803030303030303,Negative,262.5
"(275, 300]",0.13636363636363635,44,-12.440409090909093,14.601828675407818,0.8636363636363636,0.8636363636363636,Negative,287.5
