condition,group,correlation,p_value,n_samples,month_name
month,1,-0.6841701712019685,0.0,8224,Jan
month,2,-0.5740388731076632,0.0,5462,Feb
month,3,-0.6790910008498381,0.0,5891,Mar
month,4,-0.7422459800485888,0.0,5474,Apr
month,5,-0.7232298450563562,0.0,5734,May
month,6,-0.640455247017637,0.0,5605,Jun
month,7,-0.6345283692245932,0.0,5804,Jul
month,8,-0.6760031336964905,0.0,5878,Aug
month,9,-0.6242044255093561,0.0,5675,Sep
month,10,-0.7058676308338679,0.0,5907,Oct
month,11,-0.5980147430084187,0.0,5652,Nov
month,12,-0.6905778777634473,0.0,5892,Dec
