month,mean_residual,std_residual,count
1,-0.0827223386001077,7.720821100073694,8224
2,-0.024830817279826264,7.685143401318245,5462
3,0.2648680872589861,8.236435085882725,5891
4,0.5800886848468692,9.07565188517292,5474
5,-0.07674941149968689,8.285024723899333,5734
6,0.1566031190598209,7.898446851289553,5605
7,0.10707927275320067,8.825584136038877,5803
8,0.15048087450561742,7.327853259927116,5877
9,0.34199957737946535,8.672050206499778,5675
10,-0.3642973047222692,7.342141867969138,5907
11,-0.3953593138024302,11.994386992903422,5652
12,-0.5800437853589375,9.165881373468213,5892
