model_id,model_type,feature_subset,n_features,mae,dir_acc
lgb_full,lgb,full,28,3.99563783732115,80.88799866466367
xgb_full,xgb,full,28,3.995769114107134,80.99371279140934
lgb_minimal,lgb,minimal,8,4.004234311937571,81.14393812941636
xgb_minimal,xgb,minimal,8,4.040644072854355,80.91303622099817
lgb_time,lgb,time,11,4.05206131273736,80.832359650587
ridge_historical,ridge,historical,14,4.060783376122853,80.57642018583431
xgb_time,xgb,time,11,4.065715312075221,80.89356256607132
lgb_historical,lgb,historical,14,4.068345886293575,80.77672063651032
rf_full,rf,full,28,4.085035614275726,80.67378846046847
rf_minimal,rf,minimal,8,4.095469072728474,80.41784899571579
rf_time,rf,time,11,4.10106735218863,80.4846158126078
xgb_historical,xgb,historical,14,4.10294351875063,80.68491626328381
rf_historical,rf,historical,14,4.104091002657332,80.38168363656595
ridge_minimal,ridge,minimal,8,4.108713198724233,80.20363879152062
ridge_time,ridge,time,11,4.124922935846772,80.17303733377844
ridge_full,ridge,full,28,4.1350583205807006,80.09792466477495
rf_proxy,rf,proxy,16,4.1476979038371535,80.4011572914928
lgb_proxy,lgb,proxy,16,4.166982348496768,80.11183441829411
ridge_proxy,ridge,proxy,16,4.171808562808515,80.29544316474711
xgb_proxy,xgb,proxy,16,4.177024719562709,80.20642074222445
rf_residual,rf,residual,12,5.383610649175379,75.6634952428643
ridge_residual,ridge,residual,12,5.405856528680046,75.56056306682245
lgb_residual,lgb,residual,12,5.408779011014108,75.55221721471096
xgb_residual,xgb,residual,12,5.416710847255254,75.61898403160296
