lead_time,feature,importance
12,reg_cumulative_mean,7298793.13155365
12,baseline_pred,19150055.114738464
12,imb_proxy_lag1,2074755.8317871094
12,imb_proxy_rolling_mean4,5113682.799045563
12,imb_proxy_lag2,499005.5597476959
12,imb_proxy_lag3,2854780.883392334
12,imb_proxy_lag4,692057.1253585815
12,imb_proxy_rolling_std4,273145.73849868774
12,hist_mean_10,359788.6567687988
12,hist_std_10,326778.3296203613
12,hist_min_10,509309.77850341797
12,hist_max_10,391040.96266555786
12,hist_range_10,245673.90000152588
12,hist_trend_10,269918.50562286377
12,last_sign,18347.844299316406
12,last_was_positive,6796.156921386719
12,consecutive_same_sign,135461.7480316162
12,prop_positive_4,22611.468879699707
12,prop_positive_10,81387.48865509033
12,momentum,310868.9624595642
12,acceleration,318488.2174949646
12,volatility_ratio,292665.92639923096
12,high_volatility,3172.019027709961
12,deviation_from_mean,297778.1557235718
12,hour_sin,1118192.713066101
12,hour_cos,1129166.8058738708
12,is_weekend,123291.07011413574
12,is_night,13308.58706665039
12,is_morning,32587.743896484375
12,is_peak,43024.75745391846
12,is_afternoon,338301.6188354492
12,is_evening,124805.55421447754
12,load_deviation,1001579.9823532104
9,reg_cumulative_mean,6459596.329605103
9,baseline_pred,35135046.509124756
9,reg_std,496838.9283218384
9,reg_range,112089.10200500488
9,reg_trend,1651481.1086826324
9,imb_proxy_lag1,483098.7861633301
9,imb_proxy_rolling_mean4,2567563.7303390503
9,imb_proxy_lag2,209677.63013076782
9,imb_proxy_lag3,528766.9533615112
9,imb_proxy_lag4,213420.2297515869
9,imb_proxy_rolling_std4,263646.3762512207
9,hist_mean_10,266169.2504425049
9,hist_std_10,206473.73992919922
9,hist_min_10,260589.50076675415
9,hist_max_10,446121.9372329712
9,hist_range_10,167803.53678894043
9,hist_trend_10,184010.3126564026
9,last_sign,10547.90005493164
9,last_was_positive,0.0
9,consecutive_same_sign,110293.51773071289
9,prop_positive_4,43479.61688995361
9,prop_positive_10,49730.85925292969
9,momentum,186679.07902908325
9,acceleration,135248.0897216797
9,volatility_ratio,231910.17262268066
9,high_volatility,2636.936004638672
9,deviation_from_mean,201912.4013824463
9,hour_sin,504668.53911590576
9,hour_cos,533098.8602294922
9,is_weekend,91651.74649047852
9,load_deviation,736581.5545825958
6,reg_cumulative_mean,15486877.15551567
6,baseline_pred,32896493.151950836
6,reg_std,274285.0785484314
6,reg_range,234758.02577590942
6,reg_trend,1470553.2788448334
6,imb_proxy_lag1,440029.19677352905
6,imb_proxy_rolling_mean4,1699106.8929691315
6,imb_proxy_lag2,177051.36894607544
6,imb_proxy_lag3,215979.4622116089
6,hist_mean_10,295359.7429676056
6,hist_std_10,237900.93501663208
6,hist_min_10,359758.10755348206
6,hist_max_10,401079.0344295502
6,last_sign,2126.9673805236816
6,last_was_positive,1117.0
6,consecutive_same_sign,102769.84412384033
6,momentum,176749.61925697327
6,volatility_ratio,219686.91305160522
6,hour_sin,450024.02712631226
6,hour_cos,495177.5642814636
6,is_weekend,88989.02175140381
3,reg_cumulative_mean,9864988.697762728
3,baseline_pred,42330817.99107933
3,reg_std,265613.50668668747
3,reg_range,251598.03410434723
3,reg_trend,1564305.880555153
3,imb_proxy_lag1,327586.54152965546
3,imb_proxy_rolling_mean4,764463.2952537537
3,hist_mean_10,347040.26446533203
3,hist_std_10,320450.5463666916
3,last_sign,1695.0602111816406
3,last_was_positive,540.4199142456055
3,hour_sin,249452.81321525574
3,hour_cos,282306.8521094322
0,reg_cumulative_mean,27807015.852883577
0,baseline_pred,30249259.53946796
0,reg_std,375412.60390233994
0,reg_range,362751.1584765911
0,reg_trend,2254297.7808507234
0,imb_proxy_lag1,383321.12976138666
0,last_sign,902.0514049530029
